2020-02-12 21:04:21,766 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: 05_CacheRedis:05_CacheRedis:0.0.1-SNAPSHOT @ C:\JPA_Fiap-4-02-Redis\05_CacheRedis\pom.xml.
2020-02-12 21:04:25,285 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-12 21:04:25,306 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\JPA_Fiap-4-02-Redis\05_CacheRedis\src\main\resources
2020-02-12 21:04:25,310 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-12 21:04:25,349 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\JPA_Fiap-4-02-Redis\05_CacheRedis\src\test\resources
2020-02-12 21:04:25,418 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /05_CacheRedis/src
2020-02-12 21:04:25,424 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /05_CacheRedis/src/test/java because it overlaps with /05_CacheRedis/src
2020-02-12 21:04:26,404 [Worker-12] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2020-02-12 21:04:27,227 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: 05_CacheRedis:05_CacheRedis:0.0.1-SNAPSHOT @ C:\JPA_Fiap-4-02-Redis\05_CacheRedis\pom.xml.
2020-02-12 21:04:28,270 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-12 21:04:28,312 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\JPA_Fiap-4-02-Redis\05_CacheRedis\src\main\resources
2020-02-12 21:04:28,319 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-12 21:04:28,380 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\JPA_Fiap-4-02-Redis\05_CacheRedis\src\test\resources
2020-02-12 21:04:28,380 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of 05_CacheRedis
2020-02-12 21:04:28,381 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for 05_CacheRedis
2020-02-12 21:04:28,386 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-clean-plugin:jar:2.5 is missing, no dependency information available
2020-02-12 21:04:28,411 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-12 21:04:28,551 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /05_CacheRedis/src
2020-02-12 21:04:28,552 [Worker-12] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /05_CacheRedis/src/test/java because it overlaps with /05_CacheRedis/src
2020-02-12 21:04:28,961 [Worker-12] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for 05_CacheRedis
2020-02-12 21:04:28,997 [Worker-12] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2020-02-12 21:04:29,570 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-12 21:04:29,602 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\JPA_Fiap-4-02-Redis\05_CacheRedis\src\main\resources
2020-02-12 21:04:29,604 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-12 21:04:29,619 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\JPA_Fiap-4-02-Redis\05_CacheRedis\src\test\resources
2020-02-12 21:04:29,620 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of 05_CacheRedis
2020-02-12 21:04:29,627 [Worker-13] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for 05_CacheRedis
2020-02-12 21:04:29,634 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-02-12 21:11:59,624 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: 05_CacheRedis:05_CacheRedis:0.0.1-SNAPSHOT @ C:\JPA_Fiap-4-02-Redis\05_CacheRedis\pom.xml.
2020-02-12 21:12:01,474 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding Cp1252, i.e. build is platform dependent!
2020-02-12 21:12:01,490 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
